GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
url-shortener,com.shortscale.util,HashGenerator,0,49,0,2,0,10,0,5,0,4
url-shortener,com.shortscale.util,RateLimiter.RequestInfo,0,9,0,0,0,4,0,1,0,1
url-shortener,com.shortscale.util,RateLimiter,12,60,1,5,2,15,1,4,0,2
url-shortener,com.shortscale,Application,5,3,0,0,2,1,1,1,1,1
url-shortener,com.shortscale.controller,UrlController,13,86,1,3,5,24,1,6,0,5
url-shortener,com.shortscale.controller,RedirectController,0,29,0,2,0,7,0,3,0,2
url-shortener,com.shortscale.service,UrlService,0,213,2,16,0,45,2,12,0,5
url-shortener,com.shortscale.analytics,KafkaAnalyticsConsumer,0,12,0,0,0,4,0,3,0,3
url-shortener,com.shortscale.repository,RedisUrlRepository,0,28,0,0,0,7,0,4,0,4
url-shortener,com.shortscale.config,WebSocketConfig,0,33,0,0,0,6,0,3,0,3
url-shortener,com.shortscale.config,RedisConfig,0,38,0,0,0,10,0,3,0,3
